"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","descriptor_2","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","council_district","police_precinct","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location","Duration"
"1000012","2026-05-12","2026-05-13","FDNY","Fire Dept","Fire","Smoke","Morning","Building","10002","456 Elm St","Elm St","3rd Ave","4th Ave","","","ADDRESS","Brooklyn","Prospect Park","Fire Station","Open","2026-05-14","In Progress","2026-05-13","02 BROOKLYN","2","20","1000002002","BROOKLYN","876543","234567","Phone","Prospect Park","BROOKLYN","Truck","BROOKLYN","Uptown","Manhattan Bridge","S","Ramp B","Segment 2","40.6782","-73.9442","(40.6782,-73.9442)","36"
"1000013","2026-05-13","2026-05-14","DOT","Dept of Transport","Road","Pothole","Afternoon","Road","10003","789 Oak St","Oak St","5th Ave","6th Ave","","","ADDRESS","Queens","Flushing Meadows","Transport Office","Closed","2026-05-15","Fixed","2026-05-14","03 QUEENS","3","30","1000003003","QUEENS","765432","345678","App","Flushing Meadows","QUEENS","Bus","QUEENS","Midtown","Queensboro Bridge","E","Ramp C","Segment 3","40.7282","-73.7949","(40.7282,-73.7949)","12"
"1000014","2026-05-14","2026-05-15","NYPD","New York Police","Theft","Stolen Car","Evening","Parking Lot","10004","321 Pine St","Pine St","7th Ave","8th Ave","","","ADDRESS","Bronx","Yankee Stadium","Police Station","Open","2026-05-16","Investigating","2026-05-15","04 BRONX","4","40","1000004004","BRONX","654321","456789","Online","Yankee Stadium","BRONX","Van","BRONX","Harlem","Bronx Bridge","W","Ramp D","Segment 4","40.8448","-73.8648","(40.8448,-73.8648)","48"
"1000015","2026-05-15","2026-05-16","FDNY","Fire Dept","Rescue","Trapped","Night","Subway","10005","654 Cedar St","Cedar St","9th Ave","10th Ave","","","ADDRESS","Staten Island","St. George","Fire Station","Closed","2026-05-17","Rescued","2026-05-16","05 STATEN ISLAND","5","50","1000005005","STATEN ISLAND","543210","567890","Phone","St. George","STATEN ISLAND","SUV","STATEN ISLAND","Soho","Staten Island Bridge","S","Ramp E","Segment 5","40.5795","-74.1502","(40.5795,-74.1502)","60"
"1000016","2026-05-16","2026-05-17","NYPD","New York Police","Noise","Loud Music","Night","Street","10001","123 Main St","Main St","1st Ave","2nd Ave","","","ADDRESS","New York","Central Park","Police Station","Closed","2026-05-18","Resolved","2026-05-17","01 MANHATTAN","1","10","1000001001","MANHATTAN","987654","123456","Online","Central Park","MANHATTAN","Car","MANHATTAN","Downtown","Brooklyn Bridge","N","Ramp A","Segment 1","40.7128","-74.0060","(40.7128,-74.0060)","24"
"1000017","2026-05-17","2026-05-18","FDNY","Fire Dept","Fire","Smoke","Morning","Building","10002","456 Elm St","Elm St","3rd Ave","4th Ave","","","ADDRESS","Brooklyn","Prospect Park","Fire Station","Open","2026-05-19","In Progress","2026-05-18","02 BROOKLYN","2","20","1000002002","BROOKLYN","876543","234567","Phone","Prospect Park","BROOKLYN","Truck","BROOKLYN","Uptown","Manhattan Bridge","S","Ramp B","Segment 2","40.6782","-73.9442","(40.6782,-73.9442)","36"
"1000018","2026-05-18","2026-05-19","DOT","Dept of Transport","Road","Pothole","Afternoon","Road","10003","789 Oak St","Oak St","5th Ave","6th Ave","","","ADDRESS","Queens","Flushing Meadows","Transport Office","Closed","2026-05-20","Fixed","2026-05-19","03 QUEENS","3","30","1000003003","QUEENS","765432","345678","App","Flushing Meadows","QUEENS","Bus","QUEENS","Midtown","Queensboro Bridge","E","Ramp C","Segment 3","40.7282","-73.7949","(40.7282,-73.7949)","12"
"1000019","2026-05-19","2026-05-20","NYPD","New York Police","Theft","Stolen Car","Evening","Parking Lot","10004","321 Pine St","Pine St","7th Ave","8th Ave","","","ADDRESS","Bronx","Yankee Stadium","Police Station","Open","2026-05-21","Investigating","2026-05-20","04 BRONX","4","40","1000004004","BRONX","654321","456789","Online","Yankee Stadium","BRONX","Van","BRONX","Harlem","Bronx Bridge","W","Ramp D","Segment 4","40.8448","-73.8648","(40.8448,-73.8648)","48"
"1000020","2026-05-20","2026-05-21","FDNY","Fire Dept","Rescue","Trapped","Night","Subway","10005","654 Cedar St","Cedar St","9th Ave","10th Ave","","","ADDRESS","Staten Island","St. George","Fire Station","Closed","2026-05-22","Rescued","2026-05-21","05 STATEN ISLAND","5","50","1000005005","STATEN ISLAND","543210","567890","Phone","St. George","STATEN ISLAND","SUV","STATEN ISLAND","Soho","Staten Island Bridge","S","Ramp E","Segment 5","40.5795","-74.1502","(40.5795,-74.1502)","60"
"1000021","2026-05-21","2026-05-22","NYPD","New York Police","Noise","Loud Music","Night","Street","10001","123 Main St","Main St","1st Ave","2nd Ave","","","ADDRESS","New York","Central Park","Police Station","Closed","2026-05-23","Resolved","2026-05-22","01 MANHATTAN","1","10","1000001001","MANHATTAN","987654","123456","Online","Central Park","MANHATTAN","Car","MANHATTAN","Downtown","Brooklyn Bridge","N","Ramp A","Segment 1","40.7128","-74.0060","(40.7128,-74.0060)","24"
"1000022","2026-05-22","2026-05-23","FDNY","Fire Dept","Fire","Smoke","Morning","Building","10002","456 Elm St","Elm St","3rd Ave","4th Ave","","","ADDRESS","Brooklyn","Prospect Park","Fire Station","Open","2026-05-24","In Progress","2026-05-23","02 BROOKLYN","2","20","1000002002","BROOKLYN","876543","234567","Phone","Prospect Park","BROOKLYN","Truck","BROOKLYN","Uptown","Manhattan Bridge","S","Ramp B","Segment 2","40.6782","-73.9442","(40.6782,-73.9442)","36"
"1000023","2026-05-23","2026-05-24","DOT","Dept of Transport","Road","Pothole","Afternoon","Road","10003","789 Oak St","Oak St","5th Ave","6th Ave","","","ADDRESS","Queens","Flushing Meadows","Transport Office","Closed","2026-05-25","Fixed","2026-05-24","03 QUEENS","3","30","1000003003","QUEENS","765432","345678","App","Flushing Meadows","QUEENS","Bus","QUEENS","Midtown","Queensboro Bridge","E","Ramp C","Segment 3","40.7282","-73.7949","(40.7282,-73.7949)","12"
"1000024","2026-05-24","2026-05-25","NYPD","New York Police","Theft","Stolen Car","Evening","Parking Lot","10004","321 Pine St","Pine St","7th Ave","8th Ave","","","ADDRESS","Bronx","Yankee Stadium","Police Station","Open","2026-05-26","Investigating","2026-05-25","04 BRONX","4","40","1000004004","BRONX","654321","456789","Online","Yankee Stadium","BRONX","Van","BRONX","Harlem","Bronx Bridge","W","Ramp D","Segment 4","40.8448","-73.8648","(40.8448,-73.8648)","48"
"1000025","2026-05-25","2026-05-26","FDNY","Fire Dept","Rescue","Trapped","Night","Subway","10005","654 Cedar St","Cedar St","9th Ave","10th Ave","","","ADDRESS","Staten Island","St. George","Fire Station","Closed","2026-05-27","Rescued","2026-05-26","05 STATEN ISLAND","5","50","1000005005","STATEN ISLAND","543210","567890","Phone","St. George","STATEN ISLAND","SUV","STATEN ISLAND","Soho","Staten Island Bridge","S","Ramp E","Segment 5","40.5795","-74.1502","(40.5795,-74.1502)","60"
