length,width,depth,area,ambient_temp,surface_moisture,defect_severity,mass_required_kg,is_thermal_ok,is_monsoon_sim
0.417,0.291,0.0463,0.1211,23.0,28.4,0,16.596,0,1
1.865,1.239,0.0894,2.31,36.8,10.0,1,611.25,0,0
0.541,0.172,0.0805,0.0932,31.6,10.9,1,22.174,0,0
0.43,1.848,0.0579,0.7944,31.6,10.6,1,136.242,0,0
0.882,0.254,0.0759,0.2241,25.5,13.3,1,50.385,0,1
0.252,3.225,0.0417,0.8123,36.4,5.7,0,100.468,1,0
1.72,3.5,0.0579,6.0217,28.1,35.2,1,1033.502,0,1
0.177,0.507,0.1043,0.0899,30.8,6.0,2,27.786,1,0
4.434,3.5,0.0839,15.5195,32.6,3.9,1,3856.835,1,0
1.579,1.726,0.07,2.7269,25.8,10.2,1,565.28,0,0
0.322,0.169,0.0614,0.0543,29.7,10.2,1,9.851,0,0
0.106,2.455,0.0585,0.2591,34.7,6.0,1,44.808,1,0
1.79,0.135,0.0594,0.2412,39.4,0.8,1,42.463,1,0
1.327,0.261,0.0445,0.3459,41.6,1.5,0,45.667,1,0
1.406,0.803,0.073,1.1285,22.9,15.8,1,243.992,0,1
1.575,0.167,0.0809,0.2636,33.0,2.4,1,63.109,1,0
0.177,0.241,0.055,0.0427,35.7,7.0,1,6.938,1,0
0.544,2.555,0.0693,1.3894,28.0,13.4,1,285.625,0,1
0.223,3.5,0.0454,0.781,30.7,31.6,0,105.15,0,1
2.089,1.38,0.0587,2.8824,24.2,6.7,1,500.317,0,0
1.076,0.679,0.0431,0.7311,29.8,2.4,0,93.278,1,0
0.502,1.944,0.0555,0.9758,25.6,7.0,1,160.356,1,0
0.166,0.195,0.0624,0.0323,28.8,11.2,1,5.958,0,0
0.472,2.39,0.0721,1.1294,23.1,5.2,1,241.168,0,0
0.493,0.447,0.0477,0.2203,25.4,8.2,0,31.108,0,0
1.408,1.681,0.0695,2.3673,24.8,11.9,1,487.412,0,1
1.115,0.983,0.0409,1.0959,32.2,8.8,0,132.587,0,0
2.282,2.681,0.0663,6.1178,25.0,12.0,1,1203.29,0,1
0.739,1.7,0.1042,1.2565,34.3,10.0,2,387.112,0,0
0.227,1.851,0.0526,0.4208,28.9,26.2,1,65.508,0,1
1.349,0.899,0.0333,1.2131,28.9,5.9,0,119.841,1,0
1.53,1.533,0.0779,2.3454,37.8,3.4,1,541.227,1,0
0.924,1.232,0.0657,1.1384,31.0,11.1,1,221.627,0,0
1.574,0.241,0.0692,0.3794,26.6,1.3,1,77.598,1,0
0.781,0.937,0.0854,0.7314,25.5,28.3,1,185.185,0,1
0.84,0.228,0.0458,0.1917,33.8,4.7,0,25.977,1,0
0.658,1.729,0.0464,1.1373,38.3,1.6,0,155.993,1,0
0.126,0.155,0.0709,0.0194,28.0,23.6,1,4.081,0,1
0.214,3.5,0.0808,0.7496,26.0,10.1,1,179.074,0,1
0.132,0.509,0.0647,0.0672,25.6,14.2,1,12.887,0,1
1.112,0.25,0.0586,0.2776,23.3,11.6,1,48.065,0,0
0.477,2.295,0.0665,1.0956,27.9,30.9,1,215.683,0,1
0.81,0.137,0.0747,0.1112,30.0,34.5,1,24.571,0,1
2.481,0.608,0.031,1.5088,24.5,37.3,0,138.77,0,1
0.387,1.277,0.0402,0.4937,24.4,27.2,0,58.849,0,1
0.628,0.405,0.0582,0.2543,24.4,24.0,1,43.787,0,1
1.509,0.702,0.0738,1.0592,34.5,2.0,1,231.308,1,0
0.36,1.064,0.1034,0.3829,35.7,3.9,2,117.276,1,0
0.18,2.529,0.0577,0.4555,35.2,4.9,1,77.886,1,0
0.442,0.187,0.0649,0.0825,31.1,5.1,1,15.828,1,0
0.276,0.237,0.0467,0.0653,29.0,11.3,0,9.036,0,0
2.755,0.669,0.0731,1.8426,26.0,10.9,1,398.647,0,0
1.751,0.534,0.038,0.9344,25.4,28.0,0,105.129,0,1
1.103,0.523,0.0598,0.5773,26.3,10.6,1,102.13,0,1
2.152,0.382,0.041,0.8216,26.4,33.7,0,99.712,0,1
1.728,0.758,0.02,1.3099,34.7,9.3,0,77.531,0,0
0.306,1.818,0.1139,0.5573,26.6,14.0,2,187.59,0,1
2.331,0.24,0.076,0.5602,36.1,9.7,1,125.93,0,0
0.875,0.294,0.0762,0.2572,30.1,12.0,1,58.119,0,0
1.747,0.989,0.0782,1.728,32.6,3.6,1,400.185,1,0
2.364,0.146,0.0885,0.3458,25.6,36.2,1,90.538,0,1
0.483,0.996,0.0632,0.4809,25.8,25.4,1,90.044,0,1
0.217,0.402,0.0774,0.0871,29.0,22.5,1,19.928,0,1
0.359,0.454,0.05,0.163,27.4,4.4,0,24.144,1,0
0.657,0.516,0.0566,0.3391,30.4,6.2,1,56.708,1,0
1.804,0.444,0.0293,0.8011,34.7,6.8,0,69.485,1,0
2.071,1.572,0.064,3.2564,24.7,10.3,1,616.946,0,0
0.107,2.436,0.0494,0.2606,29.1,2.9,0,38.139,1,0
0.815,0.735,0.0573,0.5992,31.7,5.3,1,101.725,1,0
0.64,0.798,0.0766,0.5107,31.4,11.9,1,115.803,0,0
0.351,0.158,0.066,0.0557,27.8,5.7,1,10.891,1,0
0.228,1.099,0.0806,0.2503,26.9,15.0,1,59.697,0,1
0.512,0.802,0.0482,0.4105,31.2,10.2,0,58.606,0,0
2.963,0.141,0.0676,0.4189,35.9,4.6,1,83.898,1,0
0.49,0.277,0.0472,0.1358,35.9,6.4,0,18.957,1,0
0.831,0.28,0.0565,0.2332,29.9,9.3,1,38.949,0,0
1.314,0.25,0.0539,0.3285,32.4,7.8,1,52.487,1,0
0.552,0.96,0.0397,0.5298,25.6,3.6,0,62.338,1,0
3.668,2.21,0.0517,8.105,25.9,37.9,1,1241.448,0,1
3.382,1.252,0.0715,4.2332,30.9,11.6,1,896.519,0,0
0.39,0.619,0.0417,0.2415,31.7,2.1,0,29.758,1,0
0.788,0.514,0.0467,0.4049,25.4,17.1,0,56.055,0,1
0.458,0.491,0.0849,0.2248,30.4,23.9,1,56.544,0,1
0.435,0.836,0.0884,0.3637,32.7,11.7,1,95.087,0,0
0.138,0.456,0.0766,0.0627,27.9,5.0,1,14.251,1,0
1.04,0.305,0.0942,0.3174,32.2,2.7,1,88.488,1,0
0.799,0.839,0.0873,0.6697,24.3,9.0,1,172.953,0,0
0.153,0.496,0.0582,0.0759,32.6,10.0,1,13.089,0,0
0.427,0.111,0.0998,0.0475,34.8,9.8,1,14.034,0,0
2.489,0.118,0.0912,0.2936,32.4,8.8,1,79.376,0,0
0.374,0.356,0.0586,0.1332,35.5,9.5,1,23.079,0,0
0.257,0.675,0.065,0.1731,26.2,10.9,1,33.291,0,0
0.772,0.45,0.0468,0.3474,31.1,8.9,0,47.977,0,0
4.344,0.119,0.0581,0.519,26.1,36.9,1,89.332,0,1
0.377,0.302,0.0289,0.1139,29.2,6.5,0,9.758,1,0
1.215,0.181,0.0483,0.2201,35.1,8.0,0,31.45,0,0
1.534,2.475,0.0759,3.7964,27.2,16.0,1,853.302,0,1
0.371,0.4,0.0395,0.1486,27.0,26.3,0,17.413,0,1
1.403,0.112,0.0537,0.157,25.5,31.1,1,24.988,0,1
0.559,0.964,0.0712,0.5386,26.7,27.5,1,113.517,0,1
1.101,0.312,0.0542,0.343,25.7,17.4,1,55.093,0,1
1.104,0.769,0.083,0.849,30.3,2.6,1,208.7,1,0
0.867,0.231,0.0839,0.2001,30.8,7.0,1,49.85,1,0
0.195,3.409,0.0476,0.6635,30.0,18.6,0,93.733,0,1
1.904,2.912,0.0513,5.5438,31.7,6.4,1,841.127,1,0
0.487,0.954,0.0609,0.4642,33.2,7.9,1,83.536,1,0
0.306,1.083,0.0467,0.3317,28.3,38.2,0,45.951,0,1
0.142,0.544,0.0927,0.077,31.1,11.7,1,21.118,0,0
0.994,2.72,0.0518,2.703,34.1,4.1,1,414.531,1,0
1.232,0.541,0.0782,0.6664,30.8,14.4,1,154.131,0,1
0.117,0.319,0.0301,0.0372,35.8,3.5,0,3.318,1,0
0.818,0.198,0.0445,0.162,29.7,6.3,0,21.346,1,0
0.357,0.287,0.0383,0.1023,29.7,6.6,0,11.624,1,0
1.136,0.779,0.0351,0.8854,31.0,1.6,0,92.027,1,0
0.292,0.325,0.0497,0.0948,28.6,4.6,0,13.926,1,0
1.274,0.95,0.0673,1.21,27.2,36.1,1,241.536,0,1
0.589,0.485,0.0907,0.2858,29.2,38.6,1,76.812,0,1
2.86,1.843,0.056,5.2727,35.3,5.4,1,874.871,1,0
0.248,0.754,0.0616,0.187,25.5,4.0,1,34.1,1,0
0.517,0.88,0.0668,0.4549,27.9,0.6,1,89.888,1,0
0.22,0.751,0.0454,0.1655,26.3,11.3,0,22.266,0,1
2.686,1.834,0.0595,4.9271,26.2,28.3,1,868.212,0,1
2.198,0.152,0.1018,0.3351,32.2,7.9,2,100.934,1,0
0.398,0.156,0.0678,0.0621,39.9,5.8,1,12.465,1,0
1.179,1.068,0.1017,1.2587,30.4,5.5,2,378.84,1,0
1.799,1.269,0.0605,2.283,30.3,14.2,1,408.801,0,1
0.91,0.555,0.0476,0.5049,25.2,19.1,0,71.38,0,1
0.854,0.447,0.0809,0.3823,27.8,5.7,1,91.409,1,0
0.377,0.361,0.0853,0.1359,23.9,22.9,1,34.318,0,1
0.198,0.314,0.0501,0.062,34.0,9.4,1,9.199,0,0
2.375,2.044,0.0673,4.8547,32.4,6.8,1,967.386,1,0
2.407,0.38,0.0587,0.9141,42.6,0.6,1,158.841,1,0
1.103,0.935,0.0324,1.0315,29.0,7.1,0,99.015,1,0
0.514,1.338,0.0335,0.6876,27.4,7.1,0,68.207,1,0
0.53,0.118,0.0559,0.0624,27.3,29.0,1,10.325,0,1
1.394,0.128,0.083,0.1779,30.9,10.4,1,43.722,0,0
2.374,0.424,0.077,1.0069,29.5,0.8,1,229.207,1,0
2.281,1.053,0.0417,2.4012,30.0,11.1,0,296.252,0,0
1.614,0.342,0.0376,0.5514,36.2,4.9,0,61.333,1,0
1.127,0.101,0.0425,0.1141,33.4,6.0,0,14.389,1,0
0.188,0.372,0.0408,0.0699,25.2,29.2,0,8.444,0,1
0.276,0.176,0.0424,0.0485,36.7,10.8,0,6.087,0,0
2.388,0.298,0.02,0.7121,33.6,3.8,0,42.172,1,0
1.032,0.424,0.02,0.438,35.9,4.3,0,25.962,1,0
0.109,0.21,0.02,0.0229,25.9,30.4,0,1.357,0,1
0.207,1.08,0.029,0.2236,31.7,2.7,0,19.191,1,0
1.189,0.336,0.0833,0.4001,25.9,25.9,1,98.611,0,1
0.105,0.966,0.1321,0.1015,28.7,34.3,2,39.588,0,1
0.275,0.831,0.1004,0.2288,39.6,8.6,2,67.947,0,0
0.896,1.927,0.065,1.7256,27.3,33.9,1,332.453,0,1
1.277,0.174,0.0445,0.2218,36.2,3.4,0,29.164,1,0
1.155,0.293,0.0514,0.3388,33.6,9.6,1,51.519,0,0
0.354,1.703,0.0628,0.6028,24.8,23.7,1,112.001,0,1
1.345,1.481,0.1013,1.9931,34.2,10.8,2,596.845,0,0
0.371,0.271,0.0402,0.1004,27.1,8.9,0,11.932,0,0
0.494,0.191,0.0601,0.0944,34.1,1.3,1,16.776,1,0
1.472,1.652,0.0619,2.4319,29.1,35.5,1,446.222,0,1
1.149,0.257,0.0582,0.2952,27.8,39.3,1,50.879,0,1
1.992,1.739,0.02,3.4641,28.3,23.7,0,204.855,0,1
1.172,2.698,0.0545,3.1612,31.4,11.4,1,510.058,0,0
0.94,0.3,0.033,0.2816,29.3,15.6,0,27.504,0,1
0.198,1.568,0.1058,0.311,33.2,11.6,2,97.302,0,0
0.558,0.541,0.0714,0.3021,27.4,34.4,1,63.963,0,1
0.408,1.344,0.0823,0.5485,26.8,10.3,1,133.689,0,1
0.38,0.519,0.0423,0.1969,31.0,10.7,0,24.641,0,0
3.712,0.158,0.051,0.588,33.8,1.0,1,88.901,1,0
0.599,1.098,0.1008,0.658,25.8,15.3,2,196.366,0,1
2.326,0.231,0.0805,0.5365,34.0,6.3,1,127.985,1,0
1.097,2.194,0.0684,2.4077,32.6,2.0,1,488.148,1,0
1.684,0.533,0.0869,0.8969,25.4,29.1,1,230.527,0,1
0.798,0.168,0.0992,0.1345,37.8,2.8,1,39.526,1,0
0.96,0.308,0.0904,0.2953,29.6,29.4,1,79.04,0,1
0.778,1.687,0.081,1.3133,37.0,8.7,1,314.488,0,0
0.317,0.41,0.0829,0.13,25.1,29.7,1,31.914,0,1
1.382,1.652,0.0534,2.2829,27.5,6.7,1,361.036,1,0
0.43,0.251,0.0639,0.1079,26.3,26.3,1,20.426,0,1
0.125,0.605,0.0736,0.0754,36.5,1.2,1,16.462,1,0
1.137,1.785,0.0664,2.0291,28.6,2.7,1,398.148,1,0
0.295,0.14,0.0701,0.0412,35.1,0.8,1,8.534,1,0
2.921,0.39,0.0572,1.1399,32.1,5.4,1,192.958,1,0
3.178,2.025,0.02,6.4347,26.1,27.9,0,381.418,0,1
2.564,0.826,0.0735,2.1178,24.7,32.4,1,461.622,0,1
0.562,1.108,0.0622,0.6228,31.3,1.6,1,114.422,1,0
0.116,1.577,0.0625,0.1822,28.5,28.1,1,33.751,0,1
2.736,0.693,0.104,1.8962,36.7,1.4,2,584.827,1,0
0.659,1.593,0.0671,1.0499,34.0,6.4,1,208.237,1,0
3.501,0.915,0.0439,3.2018,28.2,7.3,0,416.295,1,0
3.414,1.026,0.0738,3.5018,29.4,29.9,1,764.249,0,1
2.017,0.233,0.0617,0.4695,32.7,3.4,1,85.718,1,0
0.449,2.338,0.0823,1.0491,32.0,7.1,1,255.384,1,0
0.586,1.372,0.0481,0.8044,28.8,5.3,0,114.616,1,0
2.005,0.335,0.0437,0.6708,33.0,8.0,0,86.857,1,0
0.481,0.794,0.0492,0.382,29.7,11.2,0,55.648,0,0
0.286,0.478,0.0254,0.1365,28.1,2.3,0,10.251,1,0
0.914,0.964,0.0512,0.8808,26.3,4.7,1,133.844,1,0
2.851,3.5,0.0918,9.9795,32.9,6.5,1,2715.368,1,0
1.291,0.137,0.0455,0.1774,29.3,6.8,0,23.913,1,0
0.944,2.538,0.0329,2.3962,36.0,9.3,0,233.064,0,0
0.202,0.16,0.0494,0.0324,37.0,1.2,0,4.733,1,0
1.055,0.594,0.0644,0.6265,28.0,6.2,1,119.495,1,0
4.711,0.626,0.0451,2.9507,35.1,7.3,0,394.402,1,0
0.251,0.35,0.0614,0.0879,37.4,10.6,1,15.954,0,0
0.83,0.769,0.065,0.6387,36.5,7.3,1,122.86,1,0
2.199,1.536,0.06,3.378,38.5,3.0,1,600.799,1,0
1.45,0.378,0.0582,0.5488,28.0,26.4,1,94.641,0,1
1.294,0.158,0.0953,0.205,32.4,0.9,1,57.826,1,0
1.312,0.9,0.0635,1.1815,25.1,7.5,1,222.39,1,0
0.545,1.215,0.0442,0.6626,36.1,5.9,0,86.646,1,0
0.448,2.572,0.0751,1.1513,33.1,5.5,1,256.215,1,0
1.757,0.239,0.0588,0.4201,29.3,23.2,1,73.207,0,1
1.761,1.953,0.0614,3.4399,28.7,1.2,1,625.745,1,0
2.118,0.626,0.0803,1.3267,30.6,7.7,1,315.22,1,0
2.545,0.315,0.0868,0.8018,27.8,3.3,1,205.97,1,0
0.816,2.732,0.0372,2.2296,26.3,2.7,0,245.771,1,0
0.796,0.318,0.0946,0.2531,27.5,14.0,1,70.899,0,1
1.701,1.158,0.0587,1.9693,34.4,0.8,1,341.372,1,0
1.15,1.329,0.0588,1.5283,25.9,24.4,1,266.872,0,1
1.311,0.55,0.0398,0.7214,27.3,23.2,0,85.062,0,1
1.689,1.037,0.0749,1.7509,34.4,1.3,1,388.514,1,0
2.307,0.78,0.0316,1.7992,25.2,3.2,0,168.24,1,0
0.512,0.271,0.0708,0.1387,27.8,3.9,1,29.086,1,0
0.571,1.241,0.093,0.7087,36.7,11.7,1,194.914,0,0
0.199,2.205,0.0537,0.4381,37.0,9.8,1,69.637,0,0
0.963,0.637,0.0816,0.6133,29.7,28.0,1,148.321,0,1
0.137,3.5,0.0616,0.4781,32.8,7.5,1,87.216,1,0
0.727,0.547,0.0322,0.3973,31.2,8.4,0,37.844,0,0
0.882,0.623,0.0624,0.5494,30.0,8.5,1,101.405,0,0
0.438,0.996,0.0563,0.4361,26.5,15.5,1,72.833,0,1
0.994,0.264,0.0779,0.2627,25.4,25.5,1,60.522,0,1
0.131,1.958,0.0527,0.2564,26.9,14.8,1,40.035,0,1
0.138,1.393,0.07,0.1923,26.1,20.2,1,39.801,0,1
1.829,1.747,0.0389,3.1962,26.7,6.2,0,367.688,1,0
0.547,0.852,0.0686,0.4659,32.4,5.7,1,94.687,1,0
0.236,1.822,0.0605,0.4297,33.0,3.6,1,76.91,1,0
0.839,1.011,0.0574,0.8483,27.5,2.7,1,144.331,1,0
1.57,0.673,0.0606,1.0567,26.0,30.7,1,189.62,0,1
0.343,2.248,0.0542,0.7714,30.3,7.3,1,123.76,1,0
1.075,0.563,0.0628,0.6058,36.8,0.5,1,112.67,1,0
0.189,0.655,0.0561,0.124,36.0,7.6,1,20.581,1,0
0.153,0.249,0.0405,0.0381,26.0,35.6,0,4.566,0,1
0.858,2.46,0.0341,2.1104,33.2,5.6,0,212.837,1,0
0.878,0.3,0.0501,0.2632,29.0,4.3,1,39.055,1,0
1.115,0.28,0.0537,0.312,25.5,37.1,1,49.502,0,1
1.395,0.185,0.02,0.2586,30.4,7.6,0,15.287,1,0
3.824,0.583,0.0604,2.2298,36.3,7.1,1,398.432,1,0
0.826,0.356,0.1041,0.2939,31.9,1.3,2,90.528,1,0
0.49,1.18,0.0738,0.5783,26.7,4.5,1,126.547,1,0
1.686,0.394,0.0566,0.6641,25.1,25.0,1,111.305,0,1
0.416,1.121,0.0437,0.466,27.1,11.8,0,60.35,0,0
0.678,0.274,0.026,0.1861,27.5,36.8,0,14.348,0,1
0.182,0.309,0.0778,0.0562,26.7,8.5,1,12.921,0,0
0.126,1.413,0.0685,0.1775,30.8,6.2,1,35.987,1,0
3.387,0.471,0.0353,1.5955,21.1,19.8,0,166.88,0,1
1.908,0.195,0.0793,0.3717,35.8,9.0,1,87.224,0,0
1.291,2.704,0.0768,3.4895,28.7,17.1,1,793.303,0,1
0.626,0.256,0.0466,0.1604,26.6,10.7,0,22.119,0,0
0.29,0.23,0.0542,0.0668,28.5,27.8,1,10.709,0,1
0.27,0.455,0.065,0.1229,27.2,34.4,1,23.644,0,1
0.388,0.18,0.0711,0.07,26.8,13.5,1,14.721,0,1
0.897,0.235,0.0381,0.211,27.8,11.8,0,23.842,0,0
1.354,1.599,0.0713,2.1647,36.5,8.4,1,456.735,0,0
1.179,0.251,0.0612,0.2955,36.2,5.4,1,53.608,1,0
0.428,0.195,0.0822,0.0833,28.9,2.9,1,20.266,1,0
3.198,1.796,0.0753,5.7436,30.6,1.1,1,1279.851,1,0
1.439,0.569,0.0612,0.8192,26.3,39.0,1,148.338,0,1
0.908,0.237,0.0783,0.2151,31.8,4.0,1,49.844,1,0
1.046,0.797,0.0298,0.8336,24.8,11.3,0,73.581,0,1
0.644,0.134,0.0525,0.0862,24.8,5.4,1,13.435,0,0
0.385,0.546,0.0405,0.21,28.8,29.7,0,25.225,0,1
0.54,0.814,0.0489,0.4395,31.3,6.0,0,63.591,1,0
1.518,2.619,0.0486,3.9768,27.9,10.0,0,573.184,0,0
0.114,0.416,0.0347,0.0477,27.7,20.8,0,4.902,0,1
0.223,1.259,0.0791,0.2812,31.1,6.1,1,65.879,1,0
0.147,0.214,0.075,0.0315,35.7,11.8,1,6.98,0,0
0.142,0.555,0.0479,0.0785,36.4,11.4,0,11.133,0,0
2.034,0.302,0.02,0.6143,30.9,7.5,0,36.397,1,0
1.316,0.643,0.0499,0.8458,29.2,12.5,0,125.095,0,1
0.743,0.532,0.059,0.3951,25.3,11.0,1,69.115,0,1
0.203,3.221,0.0871,0.6537,30.5,2.3,1,168.717,1,0
0.777,2.096,0.0487,1.6275,28.1,1.7,0,234.765,1,0
0.741,0.798,0.0796,0.5918,28.1,6.3,1,139.441,1,0
0.29,0.255,0.0499,0.0741,34.1,8.9,0,10.951,0,0
0.669,0.751,0.0714,0.5025,25.4,34.6,1,106.196,0,1
0.608,1.356,0.0762,0.8252,36.7,4.2,1,185.852,1,0
1.057,0.131,0.0716,0.1384,27.9,18.4,1,29.364,0,1
1.108,0.555,0.0409,0.6154,34.5,6.7,0,74.491,1,0
0.146,0.135,0.0527,0.0197,33.5,7.4,1,3.085,1,0
0.569,0.324,0.0717,0.1843,32.6,11.1,1,39.168,0,0
1.083,0.177,0.0284,0.192,26.8,11.2,0,16.166,0,1
0.799,2.687,0.0758,2.1479,33.8,11.4,1,481.209,0,0
2.041,0.248,0.0357,0.5061,23.7,38.2,0,53.455,0,1
1.175,0.23,0.033,0.2704,31.0,6.7,0,26.362,1,0
0.278,2.962,0.0493,0.823,30.9,6.4,0,120.29,1,0
0.173,0.68,0.0463,0.1178,31.2,1.4,0,16.149,1,0
1.128,1.235,0.0636,1.3936,28.3,7.9,1,262.944,1,0
0.127,0.417,0.0653,0.0529,26.5,4.3,1,10.242,1,0
0.981,0.709,0.0614,0.6957,31.6,2.9,1,126.644,1,0
2.917,0.106,0.0403,0.3078,30.3,4.7,0,36.782,1,0
0.957,0.521,0.0842,0.498,28.8,4.6,1,124.137,1,0
0.591,0.748,0.0613,0.4422,31.8,3.7,1,80.388,1,0
1.131,0.678,0.0786,0.7666,25.1,18.5,1,178.387,0,1
0.713,0.516,0.02,0.3682,25.9,10.9,0,21.796,0,1
0.889,1.341,0.0707,1.1915,35.0,2.4,1,249.574,1,0
2.938,0.657,0.0485,1.9308,28.0,27.6,0,277.452,0,1
0.588,0.909,0.0752,0.5343,28.6,28.8,1,118.887,0,1
3.349,0.263,0.0957,0.8818,26.7,10.2,1,250.028,0,1
2.458,1.682,0.0366,4.1324,29.9,36.3,0,448.849,0,1
0.318,0.461,0.0772,0.1464,30.6,7.6,1,33.44,1,0
0.172,0.626,0.048,0.1077,37.1,5.3,0,15.314,1,0
0.206,0.447,0.0226,0.0923,34.6,3.0,0,6.153,1,0
0.118,1.88,0.0785,0.2226,34.5,1.2,1,51.711,1,0
0.199,1.948,0.0964,0.3881,34.6,7.8,1,110.799,1,0
1.249,0.303,0.1022,0.3786,25.7,35.6,2,114.484,0,1
0.174,1.218,0.066,0.2117,27.9,38.3,1,41.325,0,1
0.484,0.187,0.0311,0.0905,29.9,2.8,0,8.326,1,0
1.964,0.124,0.0559,0.244,34.1,10.8,1,40.365,0,0
0.124,1.549,0.0578,0.1914,26.7,30.1,1,32.812,0,1
1.785,0.212,0.0819,0.3792,29.4,38.6,1,91.975,0,1
0.431,0.235,0.0595,0.1011,28.7,21.4,1,17.811,0,1
0.226,0.846,0.02,0.1911,25.0,3.2,0,11.318,0,0
1.293,1.458,0.0726,1.8849,31.2,18.4,1,405.111,0,1
1.091,0.268,0.0614,0.2927,27.4,9.8,1,53.205,0,0
2.199,0.197,0.0781,0.4333,25.7,3.9,1,100.189,1,0
1.428,0.164,0.065,0.2348,39.8,11.9,1,45.181,0,0
1.727,0.12,0.0738,0.2075,33.0,11.3,1,45.301,0,0
0.431,0.199,0.0603,0.0859,27.4,37.2,1,15.355,0,1
0.295,2.387,0.0657,0.7051,35.7,8.6,1,137.32,0,0
